suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.25,A comparison of carbon monoxide retrievals between the MOPITT satellite and Canadian high-Arctic ground-based NDACC and TCCON FTIR measurements,Atmospheric Measurement Techniques,2022,10.5194/amt-15-6837-2022,5,A. Jalali; K. Walker; K. Strong; R. Buchholz; M. Deeter; D. Wunch; S. Roche; T. Wizenberg; E. Lutsch; E. McGee; H. Worden; P. Fogal; J. Drummond
recommend,0.25,Evaluation of ACCMIP ozone simulations using a multi-constituent chemical reanalysis,,2016,10.5194/acp-2016-1043,0,K. Miyazaki; K. Bowman
recommend,0.25,Validation of MOPITT Carbon Monoxide (CO) retrievals over urban regions,,2019,10.5194/amt-2019-419,0,Wenfu Tang; H. Worden; M. Deeter; D. Edwards; L. Emmons; S. Martínez-Alonso; B. Gaubert; R. Buchholz; G. Diskin; R. Dickerson; Y. Kondo
recommend,0.231,Tropospheric Emissions: Monitoring of Pollution (TEMPO).,Journal of Quantitative Spectroscopy and Radiative Transfer,2017,10.1016/j.jqsrt.2016.05.008,190,P. Zoogman; Xiong Liu; R. Suleiman; W. F. Pennington; D. Flittner; J. Al-Saadi; B. Hilton; D. Nicks; M. Newchurch; J. Carr; Scott J. Janz; M. Andraschko; A. Arola; Brian Baker; B. Canova; C. Miller; R. C. Cohen; J. Davis; M. E. Dussault; D. P. Edwards; Jack Fishman; A. Ghulam; G. G. Abad; M. Grutter; Jay R. Herman; J. Houck; Daniel J. Jacob; Joanna Joiner; B. Kerridge; Jhoon Kim; N. Krotkov; L. Lamsal; Can Li; Can Li; Anders V. Lindfors; Randall V. Martin; Randall V. Martin; C. McElroy; C. McLinden; V. Natraj; Doreen Neil; C. Nowlan; E. O’Sullivan; Paul I. Palmer; R. B. Pierce; M. Pippin; A. Saiz-López; R. Spurr; J. Szykman; Omar Torres; J. Veefkind; B. Veihelmann; Huiqun Wang; Jun Wang; Kelly V. Chance
recommend,0.231,"Simultaneous assimilation of satellite NO 2 , O 3 , CO, and HNO 3 data for the analysis of tropospheric chemical composition and emissions",,2012,10.5194/acp-12-9545-2012,157,K. Miyazaki; H. Eskes; K. Sudo; M. Takigawa; M. Weele; K. F. Boersma
recommend,0.231,Characterization of Tropospheric Emission Spectrometer (TES) CO 2 for carbon cycle science,,2009,10.5194/acp-10-5601-2010,111,S. Kulawik; D. Jones; R. Nassar; F. Irion; J. Worden; K. Bowman; T. Machida; H. Matsueda; Y. Sawa; S. Biraud; M. Fischer; A. Jacobson
recommend,0.231,Validation of the CrIS fast physical NH 3 retrieval with ground-based FTIR,,2017,10.5194/amt-10-2645-2017,70,E. Dammers; M. Shephard; M. Palm; K. Cady-Pereira; S. Capps; E. Lutsch; K. Strong; J. Hannigan; I. Ortega; G. Toon; W. Stremme; M. Grutter; N. Jones; D. Smale; J. Siemons; Kevin Hrpcek; D. Tremblay; M. Schaap; J. Notholt; J. Erisman
recommend,0.231,"Inverse modelling of carbonyl sulfide: implementation, evaluation and implications for the global budget",Atmospheric Chemistry and Physics,2020,10.5194/acp-2020-603,55,Jin Ma; Linda M. J. Kooijmans; A. Cho; S. Montzka; N. Glatthor; J. Worden; L. Kuai; E. Atlas; M. Krol
recommend,0.231,CH 4 and CO distributions over tropical fires during October 2006 as observed by the Aura TES satellite instrument and modeled by GEOS-Chem,,2013,10.5194/acp-13-3679-2013,44,J. Worden; K. Wecht; C. Frankenberg; M. Alvarado; K. Bowman; E. Kort; S. Kulawik; Meemong Lee; V. Payne; H. Worden
recommend,0.231,Impacts of global NOx inversions on NO2 and ozone simulations,Atmospheric Chemistry and Physics,2020,10.5194/acp-20-13109-2020,36,Z. Qu; D. Henze; O. Cooper; J. Neu
recommend,0.231,1.5 years of TROPOMI CO measurements: comparisons to MOPITT and ATom,,2020,10.5194/amt-13-4841-2020,34,S. Martínez-Alonso; M. Deeter; H. Worden; T. Borsdorff; I. Aben; R. Commane; B. Daube; G. Francis; M. George; J. Landgraf; D. Mao; K. McKain; S. Wofsy
recommend,0.231,1.5 years of TROPOMI CO measurements: Comparisons to MOPITT and ATom,,2020,10.5194/amt-2020-63,31,S. Martínez-Alonso; M. Deeter; H. Worden; T. Borsdorff; I. Aben; R. Commane; B. Daube; G. Francis; M. George; J. Landgraf; D. Mao; K. McKain; S. Wofsy
recommend,0.231,CO2 annual and semiannual cycles from multiple satellite retrievals and models,,2016,10.1002/2014ea000045,25,Xun Jiang; D. Crisp; E. Olsen; S. Kulawik; C. Miller; T. Pagano; M. Liang; Y. Yung
recommend,0.231,Attribution and evolution of ozone from Asian wild fires using satellite and aircraft measurements during the ARCTAS campaign,,2012,10.5194/acp-12-169-2012,17,R. Dupont; B. Pierce; J. Worden; J. Hair; M. Fenn; P. Hamer; M. Natarajan; T. Schaack; Allen J. Lenzen; E. Apel; J. Dibb; G. Diskin; L. G. Huey; A. Weinheimer; Y. Kondo; D. Knapp
recommend,0.231,"Global decadal measurements of methanol, ethene, ethyne, and HCN from the Cross-track Infrared Sounder",Atmospheric Measurement Techniques,2025,10.5194/amt-18-695-2025,15,K. C. Wells; D. B. Millet; J. F. Brewer; Vivienne H. Payne; K. Cady-Pereira; Rick Pernak; S. Kulawik; C. Vigouroux; Nicholas Jones; Emmanuel Mahieu; Maria V. Makarova; T. Nagahama; I. Ortega; M. Palm; Kimberly Strong; M. Schneider; D. Smale; R. Sussmann; Minqiang Zhou
recommend,0.231,Large sub-regional differences of ammonia seasonal patterns over India reveal inventory discrepancies,Environmental Research Letters,2022,10.1088/1748-9326/ac881f,15,C. Beale; F. Paulot; C. Randles; Rui Wang; Xuehui Guo; L. Clarisse; M. Van Damme; P. Coheur; C. Clerbaux; M. Shephard; E. Dammers; K. Cady-Pereira; M. Zondlo
recommend,0.231,"Ozone data assimilation with GEOS-Chem: a comparison between 3-D-Var, 4-D-Var, and suboptimal Kalman filter approaches",,2011,10.5194/acpd-11-22247-2011,11,Kumaresh Singh; Adrian Sandu; K. Bowman; M. Parrington; Dylan B. A. Jones; Meemong Lee
recommend,0.231,A Tropospheric Emission Spectrometer HDO/H 2 O retrieval simulator for climate models,,2012,10.5194/acp-12-10485-2012,10,R. Field; C. Risi; G. Schmidt; J. Worden; A. Voulgarakis; A. Legrande; A. Sobel; R. Healy
recommend,0.231,"Anomalies of O3, CO, C2H2, H2CO, and C2H6 detected with multiple ground-based Fourier-transform infrared spectrometers and assessed with model simulation in 2020: COVID-19 lockdowns versus natural variability",Elem Sci Anth,2023,10.1525/elementa.2023.00015,9,I. Ortega; B. Gaubert; J. Hannigan; G. Brasseur; H. Worden; T. Blumenstock; H. Fu; F. Hase; P. Jeseck; N. Jones; Cheng Liu; E. Mahieu; I. Morino; I. Murata; J. Notholt; M. Palm; A. Röhling; Y. Té; K. Strong; Youwen Sun; S. Yamanouchi
recommend,0.231,Comparison of improved Aura Tropospheric Emission Spectrometer (TES) CO{sub 2} with HIPPO and SGP aircraft profile measurements,,2012,10.5194/acpd-12-6283-2012,7,S. Kulawik; J. Worden; S. Wofsy; S. Biraud; R. Nassar; Dylan B. A. Jones; E. Olsen; G. Osterman
recommend,0.231,Assimilation of TES CO into a global CTM: first results,,2006,10.5194/acpd-6-11727-2006,3,N. Richards; Qinbin Li; K. Bowman; J. Worden; S. Kulawik; G. Osterman; H. Worden; J. Lamarque; B. Khattatov
recommend,0.231,Methanol-CO correlations in Mexico City pollution outflow from aircraft and satellite during MILAGRO,,2012,10.5194/acpd-12-5705-2012,3,Yaping Xiao; K. Cady-Pereira; V. Payne; D. Millet; M. Shephard; M. Luo; M. Alvarado; K. C. Wells; E. Apel; T. Campos; H. B. Singh; G. Sachse
recommend,0.231,Observing requirements for geostationary satellites to enable ozone air quality prediction,,2011,10.5194/acpd-11-19291-2011,2,P. Hamer; K. Bowman; D. Henze
recommend,0.231,Transport of Peroxyacyl Nitrates (PANs) Across Northern Hemisphere Ocean Basins From Satellite Observations,Journal of Geophysical Research - Atmospheres,2026,10.1029/2025jd044872,0,Madison J. Shogrin; V. H. Payne; S. Kulawik; Kazuyuki Miyazaki; Emily V. Fischer
recommend,0.212,Global NO x emission estimates derived from an assimilation of OMI tropospheric NO 2 columns,,2011,10.5194/acp-12-2263-2012,166,K. Miyazaki; H. Eskes; K. Sudo
recommend,0.212,"Profiles of CH 4 , HDO, H 2 O, and N 2 O with improved lower tropospheric vertical resolution from Aura TES radiances",,2011,10.5194/amt-5-397-2012,147,J. Worden; S. Kulawik; C. Frankenberg; V. Payne; K. Bowman; K. Cady-Peirara; K. Wecht; Jung‐Eun Lee; D. Noone
recommend,0.212,TES ammonia retrieval strategy and global observations of the spatial and seasonal variability of ammonia,,2011,10.5194/acp-11-10743-2011,143,M. Shephard; K. Cady-Pereira; M. Luo; D. Henze; R. Pinder; J. Walker; C. Rinsland; J. Bash; Liye Zhu; V. Payne; L. Clarisse
recommend,0.212,Evaluation of preindustrial to present-day black carbon and its albedo forcing from Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP),,2012,10.5194/acp-13-2607-2013,143,Y. Lee; J. Lamarque; M. Flanner; C. Jiao; D. Shindell; T. Berntsen; M. Bisiaux; Junji Cao; W. Collins; M. Curran; R. Edwards; G. Faluvegi; S. Ghan; L. Horowitz; J. McConnell; J. Ming; G. Myhre; T. Nagashima; V. Naik; S. Rumbold; R. Skeie; K. Sudo; T. Takemura; F. Thevenon; Bing Xu; Jinho Yoon
recommend,0.212,NH3 emissions from large point sources derived from CrIS and IASI satellite observations,Atmospheric Chemistry and Physics,2019,10.5194/acp-19-12261-2019,133,E. Dammers; C. McLinden; D. Griffin; M. Shephard; S. van der Graaf; E. Lutsch; M. Schaap; Yonatan Gainairu-Matz; V. Fioletov; M. Van Damme; S. Whitburn; L. Clarisse; K. Cady-Pereira; C. Clerbaux; P. Coheur; J. Erisman
recommend,0.212,"Consistent evaluation of ACOS-GOSAT, BESD-SCIAMACHY, CarbonTracker, and MACC through comparisons to TCCON",,2015,10.5194/amt-9-683-2016,95,S. Kulawik; D. Wunch; C. O’Dell; C. Frankenberg; M. Reuter; T. Oda; F. Chevallier; V. Sherlock; M. Buchwitz; G. Osterman; C. Miller; P. Wennberg; D. Griffith; I. Morino; M. Dubey; N. Deutscher; J. Notholt; F. Hase; T. Warneke; R. Sussmann; John Robinson; K. Strong; M. Schneider; M. Mazière; K. Shiomi; D. Feist; L. Iraci; J. Wolf
recommend,0.212,Comparison of upper tropospheric water vapor observations from the Microwave Limb Sounder and Atmospheric Infrared Sounder,,2008,10.1029/2008jd010000,69,E. Fetzer; W. Read; D. Waliser; B. Kahn; B. Tian; H. Vömel; F. Irion; H. Su; A. Eldering; M. Juárez; J. Jiang; V. Dang
recommend,0.212,Estimate of bias in Aura TES HDO/H 2 O profiles from comparison of TES and in situ HDO/H 2 O measurements at the Mauna Loa observatory,,2010,10.5194/acp-11-4491-2011,64,J. Worden; D. Noone; J. Galewsky; A. Bailey; K. Bowman; D. P. Brown; J. Hurley; S. Kulawik; Jeonghoon Lee; M. Strong
recommend,0.212,The MOPITT Version 9 CO Product: Sampling Enhancements and Validation,Atmospheric Measurement Techniques,2021,10.5194/amt-2021-370,50,M. Deeter; G. Francis; J. Gille; D. Mao; S. Martínez-Alonso; H. Worden; D. Ziskin; J. Drummond; R. Commane; G. Diskin; K. McKain
recommend,0.212,Validation of ozone profile retrievals derived from the OMPS LP version 2.5 algorithm against correlative satellite measurements,,2017,10.5194/amt-11-2837-2018,47,N. Kramarova; P. Bhartia; G. Jaross; L. Moy; P. Xu; Zhong Chen; M. DeLand; L. Froidevaux; N. Livesey; D. Degenstein; A. Bourassa; K. Walker; P. Sheese
recommend,0.212,Validation of six years of TES tropospheric ozone retrievals with ozonesonde measurements: implications for spatial patterns and temporal stability in the bias,,2013,10.5194/amt-6-1413-2013,46,W. Verstraeten; F. K. Boersma; Jan Zörner; M. Allaart; K. Bowman; J. Worden
recommend,0.212,Contributions of natural and anthropogenic sources to ambient ammonia in the Athabasca Oil Sands and north-western Canada,,2017,10.5194/acp-18-2011-2018,46,C. Whaley; P. Makar; M. Shephard; Leiming Zhang; Junhua Zhang; Q. Zheng; A. Akingunola; G. Wentworth; J. Murphy; S. Kharol; K. Cady-Pereira
recommend,0.212,Evaluation of tropospheric ozone and ozone precursors in simulations from the HTAPII and CCMI model intercomparisons – a focus on the Indian subcontinent,Atmospheric Chemistry and Physics,2018,10.5194/acp-19-6437-2019,34,Zainab Q. Hakim; S. Archer-Nicholls; G. Beig; G. Folberth; K. Sudo; N. Abraham; S. Ghude; D. Henze; A. Archibald
recommend,0.212,A comparison of the impact of TROPOMI and OMI tropospheric NO2 on global chemical data assimilation,Atmospheric Measurement Techniques,2021,10.5194/amt-2021-400,33,T. Sekiya; K. Miyazaki; H. Eskes; K. Sudo; M. Takigawa; Y. Kanaya
recommend,0.212,Constraining the vertical distribution of coastal dust aerosol using OCO-2 O2 A-band measurements,Remote Sensing of Environment,2019,10.1016/j.rse.2019.111494,32,Z. Zeng; Sihe Chen; V. Natraj; T. Le; Feng Xu; A. Merrelli; D. Crisp; S. Sander; Y. Yung
recommend,0.212,Overview and update of the SPARC Data Initiative: comparison of stratospheric composition measurements from satellite limb sounders,Earth System Science Data,2020,10.5194/essd-2020-342,29,M. Hegglin; S. Tegtmeier; John R. Anderson; A. Bourassa; S. Brohede; D. Degenstein; L. Froidevaux; B. Funke; J. Gille; Y. Kasai; E. Kyrölä; J. Lumpe; D. Murtagh; J. Neu; K. Pérot; E. Remsberg; Alexei Rozanov; M. Toohey; J. Urban; T. von Clarmann; K. Walker; Hsiang J. Wang; C. Arosio; R. Damadeo; R. Fuller; G. Lingenfelser; C. McLinden; D. Pendlebury; C. Roth; N. J. Ryan; C. Sioris; Lesley Smith; K. Weigel
recommend,0.212,Evaluation of MOPITT Version 7 joint TIR–NIR XCO retrievals with TCCON,Atmospheric Measurement Techniques,2019,10.5194/amt-2019-201,23,J. Hedelius; Tai-Long He; Dylan B. A. Jones; B. Baier; R. Buchholz; M. De Mazière; N. Deutscher; M. Dubey; D. Feist; D. Griffith; F. Hase; L. Iraci; P. Jeseck; M. Kiel; R. Kivi; Cheng Liu; I. Morino; J. Notholt; Y. Oh; H. Ohyama; D. Pollard; M. Rettinger; S. Roche; C. Roehl; M. Schneider; K. Shiomi; K. Strong; R. Sussmann; C. Sweeney; Y. Té; O. Uchino; V. Velazco; Wei Wang; T. Warneke; P. Wennberg; H. Worden; D. Wunch
