suggested_action,relevance,title,venue,year,doi,citations_s2,authors
review,0.091,Understanding the Microphysical Control and Spatial‐Temporal Variability of Warm Rain Probability Using CloudSat and MODIS Observations,Geophysical Research Letters,2022,10.1029/2022gl098863,5,Zhibo Zhang; L. Oreopoulos; M. Lebsock; D. Mechem; J. Covert
review,0.091,A new Orbiting Carbon Observatory 2 cloud flagging method and rapid retrieval of marine boundary layer cloud properties,,2020,10.5194/amt-13-4947-2020,4,M. Richardson; M. Lebsock; J. McDuffie; G. Stephens
review,0.091,Towards a Climate OSSE Framework for Satellite Mission Design,Bulletin of The American Meteorological Society - (BAMS),2025,10.1175/bams-d-24-0242.1,3,A. Fridlind; G. Elsaesser; M. Lier-Walqui; G. Cesana; Elizabeth Weatherhead; G. Tselioudis; Gavin A. Schmidt; D. Barahona; B. Cairns; W. D. Collins; David Considine; Lidia Cucurull; L. DiGirolamo; A. Emory; O. Hasekamp; Shan He; Ryan Kramer; M. Lebsock; Tsengdar J. Lee; S. Leroy; Wuyin Lin; Steven Lugauer; Daniel J. Miller; J. Mulmenstadt; L. Oreopoulos; Derek J. Posselt; Mark D. Zelinkas
review,0.091,Differential Absorption Radar at 170 GHz for Atmospheric Boundary Layer Water Vapor Profiling,European Microwave Conference,2018,10.23919/eurad.2018.8546571,3,R. Roy; K. Cooper; M. Lebsock; L. Millán; J. Siles; R. Monje
review,0.091,NASA Incubation Study on Planetary Boundary Layer,IEEE International Geoscience and Remote Sensing Symposium,2020,10.1109/igarss39084.2020.9323101,2,João Paulo Ramos Teixeira; J. Piepmeier; A. Nehrir
review,0.091,Variability of bulk water vapor content in the marine cloudy boundary layers from microwave and near-infrared imagery,Atmospheric Chemistry and Physics,2019,10.5194/acp-19-8491-2019,2,L. Millán; M. Lebsock; J. Teixeira
review,0.091,"Assessing Uncertainty and Biases in Total Liquid Water Path Retrieved from W-, Ka- and G-band Radar/Radiometer Observations from Space",Journal of Atmospheric and Oceanic Technology,2026,10.1175/jtech-d-25-0044.1,1,Zhuocan Xu; P. Kollias; M. Lebsock; Alessandro Battaglia; S. Sasikumar
review,0.091,Retrieval simulations of a spaceborne differential absorption radar near the 380 GHz water vapor line,Atmospheric Measurement Techniques,2025,10.5194/amt-18-4483-2025,1,Luis Millán; M. Lebsock; M. Kurowski
review,0.091,"Variability of Bulk Water Vapor Content in the Marine Cloudy
Boundary Layers from Microwave and Near-Infrared Imagery",,2019,10.5194/acp-2019-4,1,L. Millán; M. Lebsock; J. Teixeira
review,0.091,Ice in convective storm environments: assessing impacts of microphysics on simulated reflectivities,Journal of Atmospheric and Oceanic Technology,2026,10.1175/jtech-d-25-0125.1,0,J. Shates; D. Posselt; M. Lebsock; Joseph A. Finlon; G. McFarquhar; A. Heymsfield
review,0.091,Hyperspectral A-band retrievals of cloud droplet number concentration from OCO-2,,2020,10.5194/egusphere-egu2020-22389,0,M. Richardson; M. Lebsock; G. Stephens
review,0.091,A new OCO-2 cloud flagging and rapid retrieval of marine boundary layer cloud properties,,2020,10.5194/amt-2020-140,0,M. Richardson; M. Lebsock; J. McDuffie; G. Stephens
review,0.091,Observed variability of the subtropical marine boundary layer,,2019,,0,M. Lebsock
review,0.091,G-band FMCW Radar for Humidity Profiling Inside Boundary Layer Clouds,,2018,,0,R. Roy; K. Cooper; M. Lebsock; L. Millán; J. Siles; R. Monje
review,0.091,Differential Absorption Radar at 170 GHz for Atmospheric Boundary Layer Water Vapor Profiling,European Radar Conference,2018,10.23919/eumc.2018.8541614,0,R. Roy; K. Cooper; M. Lebsock; L. Millán; J. Siles; R. Monje
exclude,0.061,Frequency and causes of failed MODIS cloud property retrievals for liquid phase clouds over global oceans,Journal of Geophysical Research - Atmospheres,2015,10.1002/2015jd023161,106,Hyoun-Myoung Cho; Zhibo Zhang; K. Meyer; M. Lebsock; S. Platnick; A. Ackerman; L. Di Girolamo; L. C.-Labonnote; C. Cornet; J. Riedi; R. Holz
exclude,0.061,Detecting the Ratio of Rain and Cloud Water in Low-Latitude Shallow Marine Clouds,,2010,10.1175/2010jamc2494.1,77,M. Lebsock; T. L’Ecuyer; G. Stephens
exclude,0.061,Physical science research needed to evaluate the viability and risks of marine cloud brightening,Science Advances,2024,10.1126/sciadv.adi8594,66,G. Feingold; V. Ghate; Lynn M. Russell; P. Blossey; W. Cantrell; M. Christensen; M. Diamond; A. Gettelman; F. Glassmeier; E. Gryspeerdt; James Haywood; Fabian Hoffmann; Colleen Kaul; M. Lebsock; A. McComiskey; D. McCoy; Y. Ming; J. Mülmenstädt; A. Possner; Prasanth Prabhakaran; P. K. Quinn; K. S. Schmidt; Raymond A. Shaw; C. Singer; A. Sorooshian; V. Toll; Jessica S. Wan; R. Wood; Fan Yang; Jianhao Zhang; Xue Zheng
exclude,0.061,Retrieval of snowflake microphysical properties from multifrequency radar observations,Atmospheric Measurement Techniques,2018,10.5194/amt-2018-73,64,J. Leinonen; M. Lebsock; S. Tanelli; O. Sy; B. Dolan; R. Chase; Joseph A. Finlon; A. von Lerber; D. Moisseev
exclude,0.061,Observational Boundary Layer Energy and Water Budgets of the Stratocumulus-to-Cumulus Transition,,2014,10.1175/jcli-d-14-00242.1,28,P. Kalmus; M. Lebsock; J. Teixeira
exclude,0.061,An investigation of microphysics and subgrid‐scale variability in warm‐rain clouds using the A‐Train observations and a multiscale modeling framework,,2017,10.1002/2016jd026404,25,Hanii Takahashi; M. Lebsock; Kentaroh Suzuki; G. Stephens; Minghuai Wang
exclude,0.061,Performance assessment of a triple-frequency spaceborne cloud–precipitation radar concept using a global cloud-resolving model,,2015,10.5194/amt-8-3493-2015,23,J. Leinonen; M. Lebsock; S. Tanelli; Kentaroh Suzuki; H. Yashiro; Y. Miyamoto
exclude,0.061,Differential absorption radar techniques: water vapor retrievals,,2016,10.5194/amt-9-2633-2016,21,L. Millán; M. Lebsock; N. Livesey; S. Tanelli
exclude,0.061,"An Observational View of Relationships Between Moisture Aggregation, Cloud, and Radiative Heating Profiles",Surveys in geophysics,2017,10.1007/s10712-017-9443-1,18,M. Lebsock; T. L’Ecuyer; R. Pincus
exclude,0.061,When Will Spaceborne Cloud Radar Detect Upward Shifts in Cloud Heights?,Journal of Geophysical Research - Atmospheres,2019,10.1029/2018jd030242,16,Hanii Takahashi; M. Lebsock; M. Richardson; R. Marchand; J. Kay
exclude,0.061,Simulation of Remote Sensing of Clouds and Humidity From Space Using a Combined Platform of Radar and Multifrequency Microwave Radiometers,Earth and Space Science,2019,10.1029/2019ea000580,15,Jonathan H. Jiang; Q. Yue; H. Su; P. Kangaslahti; M. Lebsock; S. Reising; M. Schoeberl; Longtao Wu; R. Herman
exclude,0.061,Assessment of global total column water vapor sounding using a spaceborne differential absorption radar,Atmospheric Measurement Techniques,2020,10.5194/amt-2020-97,13,L. Millán; R. Roy; M. Lebsock
exclude,0.061,Uncertainty Characteristics of Total Water Path Retrievals in Shallow Cumulus Derived from Spaceborne Radar/Radiometer Integral Constraints,,2016,10.1175/jtech-d-16-0023.1,13,M. Lebsock; Kentaroh Suzuki
exclude,0.061,Sensitivity analysis of polarimetric O 2 A-band spectra for potential cloud retrievals using OCO-2/GOSAT measurements,,2015,10.5194/amt-8-3601-2015,13,S. Sanghavi; M. Lebsock; G. Stephens
exclude,0.061,Multifrequency radar observations of marine clouds during the EPCAPE campaign,Earth System Science Data,2024,10.5194/essd-16-2701-2024,9,Juan M. Socuéllamos; Raquel Rodriguez Monje; M. Lebsock; Ken B. Cooper; Robert M. Beauchamp; Arturo Y. Umeyama
exclude,0.061,A G-Band Doppler Radar for Atmospheric Profiling,IEEE Transactions on Geoscience and Remote Sensing,2024,10.1109/tgrs.2024.3398616,7,Juan M. Socuéllamos; Raquel Rodriguez Monje; Ken B. Cooper; M. Lebsock; S. P. M. Nagaraja; Jose V. Siles; Robert M. Beauchamp; S. Tanelli
exclude,0.061,Quantifying the dependence of drop spectrum width on cloud drop number concentration for cloud remote sensing,Atmospheric Chemistry and Physics,2023,10.5194/acp-23-14293-2023,6,M. Lebsock; M. Witte
exclude,0.061,Scaling Behavior of a Turbulent Kinetic Energy Closure Scheme for the Stably Stratified Atmosphere: A Steady-State Analysis,Journal of the Atmospheric Sciences,2020,10.1175/jas-d-19-0332.1,2,M. MacDonald; João Paulo Ramos Teixeira
exclude,0.061,Improvements to the JPL EDMF Cloud Parameterization by a Suite of Global A-Train Satellite Observations,,2017,,0,M. Smalley; K. Suselj; M. Lebsock
exclude,0.061,Study of the shallow convection over the Belem region in Brazil,,2016,,0,L. Pires; K. Suselj; L. Rossato; J. Teixeira
exclude,0.061,A satellite observation test bed for cloud parameterization development,,2015,,0,M. Lebsock; K. Suselj
exclude,0.061,Physical-based validation of unified parameterization based on satellite observation of cloud and precipitation properties,,2015,,0,K. Suselj; M. Lebsock
exclude,0.061,Stochastic Convection Parameterizations,,2012,,0,J. Teixeira; C. Reynolds; K. Suselj; G. Matheou
exclude,0.061,Seeking guidance from active cloud observations to improve climate model subcolumn generators,,2021,10.1002/essoar.10509369.1,0,L. Oreopoulos; N. Cho; Dongmin Lee; M. Lebsock; Zhibo Zhang
exclude,0.061,"Supplementary material to ""A new OCO-2 cloud flagging and rapid retrieval of marine boundary layer cloud properties""",,2020,10.5194/amt-2020-140-supplement,0,M. Richardson; M. Lebsock; J. McDuffie; G. Stephens
exclude,0.061,Observing the Boundary Layer from Space II Posters,,2019,,0,J. Teixeira; J. Santanello; M. Lebsock
exclude,0.061,First Investigations of Drizzling Boundary Layer Cloud Properties with OCO-2 A-band Retrievals,,2018,,0,M. Richardson; H. Cronk; J. Leinonen; J. McDuffie; M. Lebsock; G. Stephens
exclude,0.061,The MAGIC Marine Boundary Layer Campaign: The Mean Thermodynamic and Cloud State,,2018,,0,P. Kalmus; J. Teixeira; E. Lewis; M. Reynolds; M. Lebsock
exclude,0.061,A Marine Boundary Layer Water Vapor Climatology Derived from Microwave and Near-Infrared Imagery,,2017,,0,L. M. Valle; M. Lebsock; J. Teixeira
exclude,0.061,A Climate Process Team focused on better representation of aerosol indirect effects in climate models through improved cloud macrophysical parameterization,,2011,,0,R. Wood; V. Larson; L. Donner; J. Golaz; H. Guo; A. Gettelman; H. Morrison; P. Bogenschutz; G. Feingold; T. Yamaguchi; Seoung-Soo Lee; G. Stephens; M. Lebsock; T. Kubar; D. Grosvenor
exclude,0.03,Snowfall‐driven mass change on the East Antarctic ice sheet,,2012,10.1029/2012gl053316,177,C. Boening; M. Lebsock; F. Landerer; G. Stephens
exclude,0.03,Multisensor satellite observations of aerosol effects on warm clouds,,2008,10.1029/2008jd009876,172,M. Lebsock; G. Stephens; C. Kummerow
exclude,0.03,On the precipitation susceptibility of clouds to aerosol perturbations,,2009,10.1029/2009gl038993,140,A. Sorooshian; G. Feingold; M. Lebsock; Hongli Jiang; G. Stephens
exclude,0.03,Global observations of aerosol impacts on precipitation occurrence in warm maritime clouds,,2009,10.1029/2008jd011273,118,T. L’Ecuyer; W. Berg; J. Haynes; M. Lebsock; T. Takemura
exclude,0.03,Precipitation driving of droplet concentration variability in marine low clouds,,2012,10.1029/2012jd018305,103,R. Wood; D. Leon; M. Lebsock; J. Snider; A. Clarke
exclude,0.03,Intercomparison of Three- and one-Dimensional Model Simulations and Aircraft Observations of Stratocumulus,,1999,10.1023/a:1002006919256,88,P. Duynkerke; P. J. Jonker; A. Chlond; M. V. Zanten; J. Cuxart; P. Clark; E. Sánchez; G. Martin; G. Lenderink; João Paulo Ramos Teixeira
exclude,0.03,"Comparisons of satellites liquid water estimates to ECMWF and GMAO analyses, 20th century IPCC AR4 climate simulations, and GCM simulations",,2008,10.1029/2008gl035427,71,Juilin Li; D. Waliser; C. Woods; João Paulo Ramos Teixeira; J. Bacmeister; J. Chern; B. Shen; A. Tompkins; W. Tao; M. Köhler
exclude,0.03,Deconstructing the precipitation susceptibility construct: Improving methodology for aerosol-cloud precipitation studies,,2010,10.1029/2009jd013426,54,A. Sorooshian; G. Feingold; M. Lebsock; Hongli Jiang; G. Stephens
exclude,0.03,"Opinion: To assess marine cloud brightening's technical feasibility, we need to know what to study—and when to stop",Proceedings of the National Academy of Sciences of the United States of America,2022,10.1073/pnas.2118379119,47,M. Diamond; A. Gettelman; M. Lebsock; A. McComiskey; L. Russell; R. Wood; G. Feingold
exclude,0.03,G-Band Radar for Humidity and Cloud Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing,2020,10.1109/tgrs.2020.2995325,44,K. Cooper; R. Roy; R. Dengler; R. Monje; Maria Alonso-delPino; J. Siles; O. Yurduseven; C. Parashare; L. Millán; M. Lebsock
exclude,0.03,Validation of a G-Band Differential Absorption Cloud Radar for Humidity Remote Sensing,,2020,10.1175/jtech-d-19-0122.1,38,R. Roy; M. Lebsock; L. Millán; K. Cooper
exclude,0.03,Boundary-layer water vapor profiling using differential absorption radar,Atmospheric Measurement Techniques,2018,10.5194/amt-11-6511-2018,32,R. Roy; M. Lebsock; L. Millán; R. Dengler; R. Monje; J. Siles; K. Cooper
exclude,0.03,Regional Assessments of Low Clouds against Large-Scale Stability in CAM5 and CAM-CLUBB Using MODIS and ERA-Interim Reanalysis Data,,2015,10.1175/jcli-d-14-00184.1,20,T. Kubar; Graeme Stephens; M. Lebsock; V. Larson; P. Bogenschutz
exclude,0.03,On the Dependence of Cloud Feedbacks on Physical Parameterizations in WRF Aquaplanet Simulations,,2017,10.1002/2017gl074820,17,G. Cesana; K. Suselj; F. Brient
exclude,0.03,Diurnal Patterns in the Observed Cloud Liquid Water Path Response to Droplet Number Perturbations,Geophysical Research Letters,2024,10.1029/2023gl107323,17,K. Smalley; M. Lebsock; Ryan Eastman
exclude,0.03,Spectroscopic imaging of sub-kilometer spatial structure in lower-tropospheric water vapor,Atmospheric Measurement Techniques,2020,10.5194/amt-2020-346,17,D. Thompson; B. Kahn; P. Brodrick; M. Lebsock; M. Richardson; R. Green
exclude,0.03,Satellites Suggest Rising Tropical High Cloud Altitude: 2002–2021,Geophysical Research Letters,2022,10.1029/2022gl098160,16,M. Richardson; R. Roy; M. Lebsock
exclude,0.03,First Airborne Measurements with a G-band Differential Absorption Radar,IEEE Transactions on Geoscience and Remote Sensing,2021,10.1109/tgrs.2021.3134670,15,R. Roy; K. Cooper; M. Lebsock; J. Siles; L. Millán; R. Dengler; R. Monje; S. Durden; F. Cannon; Anna Wilson
exclude,0.03,What CloudSat cannot see: liquid water content profiles inferred from MODIS and CALIOP observations,Atmospheric Measurement Techniques,2023,10.5194/amt-16-3531-2023,14,Richard M. Schulte; M. Lebsock; J. Haynes
exclude,0.03,Corrections for Geostationary Cloud Liquid Water Path Using Microwave Imagery,Journal of Atmospheric and Oceanic Technology,2023,10.1175/jtech-d-23-0030.1,10,K. Smalley; M. Lebsock
exclude,0.03,Spatial Variation in Humidity and the Onset of Seasonal Influenza Across the Contiguous United States,GeoHealth,2021,10.1029/2021gh000469,6,E. Serman; H. Thrastarson; M. Franklin; João Paulo Ramos Teixeira
exclude,0.03,A random forest algorithm for the prediction of cloud liquid water content from combined CloudSat–CALIPSO observations,Atmospheric Measurement Techniques,2024,10.5194/amt-17-3583-2024,6,R. Schulte; M. Lebsock; J. Haynes; Yongxiang Hu
exclude,0.03,Water vapor measurements inside clouds and storms using a differential absorption radar,Atmospheric Measurement Techniques,2024,10.5194/amt-17-539-2024,6,L. Millán; M. Lebsock; Ken B. Cooper; Jose V. Siles; Robert J. Dengler; Raquel Rodriguez Monje; A. Nehrir; R. Barton-Grimley; J. Collins; C. Robinson; K. Thornhill; Holger Vömel
exclude,0.03,Analysis of collocated AIRS and MODIS data: a global investigation of correlations between clouds and atmosphere in 2004–2012,,2016,10.1080/01431161.2016.1177244,3,M. Schreier; K. Suselj
exclude,0.03,Didactic Speech Synthesizer: Acoustic Module - Formants Model,International Conference on Bio-inspired Systems and Signal Processing,2013,10.5220/0004249603560359,3,João Paulo Ramos Teixeira; Anildo P. Fernandes
exclude,0.03,Differential absorption radar at 170 and 560 GHz for humidity remote sensing,Defense + Commercial Sensing,2020,10.1117/12.2557138,1,K. Cooper; R. Roy; J. Siles; M. Lebsock; L. Millán; Omkar Pradhan; R. Monje
exclude,0.03,Differential Absorption Radar: An Emerging Technology for Remote Sounding of Water Vapor Within Clouds,,2017,,1,M. Lebsock; L. M. Valle; K. Cooper; J. Siles; R. Monje
