suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.257,Vertical wind and drop size distribution retrieval with the CloudCube G-band Doppler radar,Atmospheric Measurement Techniques,2025,10.5194/amt-18-5141-2025,5,Nitika Yadlapalli Yurk; M. Lebsock; Juan M. Socuéllamos; Raquel Rodriguez Monje; Ken B. Cooper; P. Kollias
recommend,0.257,Quantifying the impact of vertical resolution on the representation of marine boundary layer physics for global-scale models,Monthly Weather Review,2023,10.1175/mwr-d-23-0078.1,4,M. Smalley; M. Lebsock; J. Teixeira
recommend,0.257,Coupling Warm Rain With an Eddy Diffusivity/Mass Flux Parameterization: 1. Model Description and Validation,Journal of Advances in Modeling Earth Systems,2022,10.1029/2021ms002736,3,K. Suselj; M. Smalley; M. Lebsock; M. Kurowski; M. Witte; João Paulo Ramos Teixeira
recommend,0.257,Delaminating the Marine Atmospheric Boundary and Saharan Air Layers: Observations and modeling by MAGPIE to understand marine boundary and lower free troposphere layer inhomogeneity over the Northwest Tropical Atlantic,Bulletin of The American Meteorological Society - (BAMS),2026,10.1175/bams-d-25-0224.1,0,Jeffrey S. Reid; Joshua H. Cossuth; C. Gaston; Robert E. Holz; D. Richter; A. Sealy; Elizabeth J. Thompson; Qing Wang; M. Chinita; J. Dunion; D. Eleuterio; Willem J. Marais; J. Rubin; Stephanie S. Rushley; Lian Shen; Zhien Wang; R. Yamaguchi; E. Blades; A. Bucholtz; Z. Buckholtz; R. Chewitt-Lucas; J. Doyle; T. Eck; Edwin W. Eloranta; David D. Flagg; Dongwei Fu; Joseph P. Garcia; J. Hlywiak; Christopher R. Jackson; S. Król; Elena Lind; Allison Mabrey; S. Malinowski; H. Maring; Emily C. Melvin; M. A. Miller; Shubham Mittal; K. Mulreany; I. Razenkov; E. Reid; Jonathan Roetman; J. Ruiz‐Plancarte; P. Selmer; Sebastian Schmidt; Sujan Shrestha; A. Willitsford; Mikael Witte; P. Xian; S. Yuter
recommend,0.257,Lagrangian aerosol particle trajectories in a cloud-free marine atmospheric boundary layer: implications for sampling,Atmospheric Measurement Techniques,2025,10.5194/amt-18-5017-2025,0,H. Park; Jeﬀrey Reid; P. Caffrey; M. Chinita; David H Richter
recommend,0.229,Marine liquid cloud geometric thickness retrieved from OCO-2's oxygen A-band spectrometer,Atmospheric Measurement Techniques,2019,10.5194/amt-12-1717-2019,24,M. Richardson; J. Leinonen; H. Cronk; J. McDuffie; M. Lebsock; G. Stephens
recommend,0.229,Improving the representation of shallow cumulus convection with the simplified-higher-order-closure–mass-flux (SHOC+MF v1.0) approach,Geoscientific Model Development,2023,10.5194/gmd-16-1909-2023,10,M. Chinita; M. Witte; M. Kurowski; João Paulo Ramos Teixeira; K. Suselj; Georgios; Matheou; P. Bogenschutz
recommend,0.229,"An A-train and MERRA view of cloud, thermodynamic, and dynamic variability within the subtropical marine boundary layer",,2017,10.5194/acp-17-9451-2017,7,B. Kahn; G. Matheou; Q. Yue; T. Fauchez; E. Fetzer; M. Lebsock; J. Martins; M. Schreier; Kentaroh Suzuki; J. Teixeira
recommend,0.229,Variability of bulk water vapor content in the marine cloudy boundary layers from microwave and near-infrared imagery,Atmospheric Chemistry and Physics,2019,10.5194/acp-19-8491-2019,2,L. Millán; M. Lebsock; J. Teixeira
recommend,0.229,"Assessing Uncertainty and Biases in Total Liquid Water Path Retrieved from W-, Ka- and G-band Radar/Radiometer Observations from Space",Journal of Atmospheric and Oceanic Technology,2026,10.1175/jtech-d-25-0044.1,1,Zhuocan Xu; P. Kollias; M. Lebsock; Alessandro Battaglia; S. Sasikumar
recommend,0.229,"Variability of Bulk Water Vapor Content in the Marine Cloudy
Boundary Layers from Microwave and Near-Infrared Imagery",,2019,10.5194/acp-2019-4,1,L. Millán; M. Lebsock; J. Teixeira
recommend,0.229,"A satellite and reanalysis view of cloud organization, thermodynamic, and dynamic variability within the subtropical marine boundary layer",,2017,10.5194/acp-2017-59,0,B. Kahn; G. Matheou; Q. Yue; T. Fauchez; E. Fetzer; M. Lebsock; J. Martins; M. Schreier; Kentaroh Suzuki; J. Teixeira
recommend,0.229,Scientific Applications of Multi-Angle Measurements to Reconstruct Earth’s Atmosphere through Tomography,Bulletin of The American Meteorological Society - (BAMS),2026,10.1175/bams-d-24-0293.1,0,Linda Forster; Mark T. Richardson; A. Davis; Mauricio Hess-Flores; Igor Yanovsky; J. Ryan; M. Lebsock; D. Posselt; F. Seidel; Chi O. Ao; Shannon T. Brown; D. Diner; E. Fishbein; L. Girolamo; M. Kurowski; Lukas Mandrake; C. E. Miller; N. Parazoo; Graeme Stephens; J. P. Teixeira; J. Hyon; M. Seablom
recommend,0.2,Tropical and Subtropical Cloud Transitions in Weather and Climate Prediction Models: The GCSS/WGNE Pacific Cross-Section Intercomparison (GPCI),,2011,10.1175/2011jcli3672.1,146,João Paulo Ramos Teixeira; S. Cardoso; S. Cardoso; M. Bonazzola; Jason C. Cole; A. Delgenio; C. DeMott; C. Franklin; C. Hannay; C. Jakob; Y. Jiao; J. Karlsson; H. Kitagawa; M. Köhler; A. Kuwano‐Yoshida; C. Ledrian; Jun Li; A. Lock; M. Miller; P. Marquet; J. Martins; C. Mechoso; E. Meijgaard; I. Meinke; P. Miranda; D. Mironov; R. Neggers; H. Pan; D. Randall; P. Rasch; B. Rockel; W. Rossow; B. Ritter; A. P. Siebesma; P. Soares; F. Turk; P. Vaillancourt; A. Engeln; Ming Zhao
recommend,0.2,Retrieval techniques for airborne imaging of methane concentrations using high spatial and moderate spectral resolution: application to AVIRIS,,2014,10.5194/amt-7-491-2014,114,A. Thorpe; C. Frankenberg; D. Roberts
recommend,0.2,Frequency and causes of failed MODIS cloud property retrievals for liquid phase clouds over global oceans,Journal of Geophysical Research - Atmospheres,2015,10.1002/2015jd023161,106,Hyoun-Myoung Cho; Zhibo Zhang; K. Meyer; M. Lebsock; S. Platnick; A. Ackerman; L. Di Girolamo; L. C.-Labonnote; C. Cornet; J. Riedi; R. Holz
recommend,0.2,Large-Eddy Simulation of Stratified Turbulence. Part II: Application of the Stretched-Vortex Model to the Atmospheric Boundary Layer,,2014,10.1175/jas-d-13-0306.1,81,G. Matheou; D. Chung
recommend,0.2,Detection and quantification of CH4 plumes using the WFM-DOAS retrieval on AVIRIS-NG hyperspectral data,Atmospheric Measurement Techniques,2020,10.5194/amt-2020-275,42,J. Borchardt; K. Gerilowski; S. Krautwurst; H. Bovensmann; A. Thorpe; D. Thompson; C. Frankenberg; C. Miller; R. Duren; J. Burrows
recommend,0.2,LES of a Spatially Developing Atmospheric Boundary Layer: Application of a Fringe Method for the Stratocumulus to Shallow Cumulus Cloud Transition,,2014,10.1175/mwr-d-13-00400.1,23,M. Inoue; G. Matheou; J. Teixeira
recommend,0.2,Improving the Representation of Subtropical Boundary Layer Clouds in the NASA GEOS Model with the Eddy-Diffusivity/Mass-Flux Parameterization,Monthly Weather Review,2021,10.1175/mwr-d-20-0183.1,8,K. Suselj; João Paulo Ramos Teixeira; M. Kurowski; A. Molod
recommend,0.2,Dual-frequency (Ka-band and G-band) radar estimates of liquid water content profiles in shallow clouds,Atmospheric Measurement Techniques,2024,10.5194/amt-17-6965-2024,6,Juan M. Socuéllamos; Raquel Rodriguez Monje; M. Lebsock; Ken B. Cooper; P. Kollias
recommend,0.2,Retrieval simulations of a spaceborne differential absorption radar near the 380 GHz water vapor line,Atmospheric Measurement Techniques,2025,10.5194/amt-18-4483-2025,1,Luis Millán; M. Lebsock; M. Kurowski
recommend,0.2,Residual cross-grid flow numerical error in large-eddy simulations of cumulus-topped boundary layers,,2019,,0,Oumaima Lamaakel; G. Matheou
recommend,0.2,Numerical model error in large-eddy simulations of a stable atmospheric boundary layer,,2017,,0,G. Matheou
recommend,0.171,"Airborne DOAS retrievals of methane, carbon dioxide, and water vapor concentrations at high spatial resolution: Application to AVIRIS-NG",,2017,10.5194/amt-10-3833-2017,116,A. Thorpe; C. Frankenberg; D. Thompson; R. Duren; A. Aubrey; B. Bue; R. Green; K. Gerilowski; T. Krings; J. Borchardt; E. Kort; C. Sweeney; S. Conley; D. Roberts; P. Dennison
recommend,0.171,Orbiting Carbon Observatory-2 (OCO-2) cloud screening algorithms: validation against collocated MODIS and CALIOP data,,2015,10.5194/amt-9-973-2016,110,T. Taylor; C. O’Dell; C. Frankenberg; P. Partain; H. Cronk; A. Savtchenko; R. Nelson; E. J. Rosenthal; A. Chang; B. Fisher; G. Osterman; R. Pollock; D. Crisp; A. Eldering; M. Gunson
recommend,0.171,On the Fidelity of Large-Eddy Simulation of Shallow Precipitating Cumulus Convection,,2011,10.1175/2011mwr3599.1,107,G. Matheou; D. Chung; L. Nuijens; B. Stevens; J. Teixeira
recommend,0.171,"The Chlorophyll Fluorescence Imaging Spectrometer (CFIS), mapping far red fluorescence from aircraft",Remote Sensing of Environment,2018,10.1016/j.rse.2018.08.032,66,C. Frankenberg; P. Köhler; T. Magney; S. Geier; P. Lawson; M. Schwochert; J. McDuffie; D. Drewry; R. Pavlick; A. Kuhnert
recommend,0.171,Quantifying Global Power Plant Carbon Dioxide Emissions With Imaging Spectroscopy,AGU Advances,2021,10.1029/2020av000350,65,D. Cusworth; R. Duren; A. Thorpe; M. Eastwood; R. Green; P. Dennison; C. Frankenberg; Joseph W. Heckler; G. Asner; C. E. Miller
recommend,0.171,Evaluating the effects of surface properties on methane retrievals using a synthetic airborne visible/infrared imaging spectrometer next generation (AVIRIS-NG) image,Remote Sensing of Environment,2018,10.1016/j.rse.2018.06.018,58,A. Ayasse; A. Thorpe; D. Roberts; Christopher C. Funk; P. Dennison; C. Frankenberg; A. Steffke; A. Aubrey
recommend,0.171,Steady-State Large-Eddy Simulations to Study the Stratocumulus to Shallow Cumulus Cloud Transition,,2012,10.1175/jas-d-11-0256.1,57,D. Chung; G. Matheou; J. Teixeira
recommend,0.171,An Uncertainty Data Set for Passive Microwave Satellite Observations of Warm Cloud Liquid Water Path,Journal of Geophysical Research - Atmospheres,2018,10.1002/2017jd027638,38,T. Greenwald; R. Bennartz; M. Lebsock; J. Teixeira
recommend,0.171,Warm Rain Rates from AMSR-E 89-GHz Brightness Temperatures Trained Using CloudSat Rain-Rate Observations,Journal of Atmospheric and Oceanic Technology,2019,10.1175/jtech-d-18-0185.1,25,R. Eastman; M. Lebsock; R. Wood
recommend,0.171,Numerical discretization and subgrid‐scale model effects on large‐eddy simulations of a stable boundary layer,,2016,10.1002/qj.2888,24,G. Matheou
recommend,0.171,Spectroscopic imaging of sub-kilometer spatial structure in lower-tropospheric water vapor,Atmospheric Measurement Techniques,2020,10.5194/amt-2020-346,17,D. Thompson; B. Kahn; P. Brodrick; M. Lebsock; M. Richardson; R. Green
recommend,0.171,When Will Spaceborne Cloud Radar Detect Upward Shifts in Cloud Heights?,Journal of Geophysical Research - Atmospheres,2019,10.1029/2018jd030242,16,Hanii Takahashi; M. Lebsock; M. Richardson; R. Marchand; J. Kay
recommend,0.171,The Spectral Nature of Earth’s Reflected Radiation: Measurement and Science Applications,Frontiers in Remote Sensing,2021,10.3389/frsen.2021.664291,13,G. Stephens; O. Kalashnikova; J. Gristey; P. Pilewskie; D. Thompson; Xianglei Huang; M. Lebsock; S. Schmidt
recommend,0.171,Detection and Tracking of Tropical Convective Storms Based on Globally Gridded Precipitation Measurements: Algorithm and Survey over the Tropics,,2021,10.1175/jamc-d-20-0171.1,10,Hanii Takahashi; M. Lebsock; Z. Luo; H. Masunaga; Cindy Wang
recommend,0.171,Profile information on CO from SCIAMACHY observations using cloud slicing and comparison with model simulations,,2014,10.5194/acp-14-1717-2014,10,Cheng Liu; S. Beirle; T. Butler; P. Hoor; C. Frankenberg; P. Jöckel; M. P. D. Vries; U. Platt; A. Pozzer; M. Lawrence; J. Lelieveld; H. Tost; T. Wagner
recommend,0.171,Quantifying the dependence of drop spectrum width on cloud drop number concentration for cloud remote sensing,Atmospheric Chemistry and Physics,2023,10.5194/acp-23-14293-2023,6,M. Lebsock; M. Witte
recommend,0.171,A new Orbiting Carbon Observatory 2 cloud flagging method and rapid retrieval of marine boundary layer cloud properties,,2020,10.5194/amt-13-4947-2020,4,M. Richardson; M. Lebsock; J. McDuffie; G. Stephens
recommend,0.171,Towards a Climate OSSE Framework for Satellite Mission Design,Bulletin of The American Meteorological Society - (BAMS),2025,10.1175/bams-d-24-0242.1,3,A. Fridlind; G. Elsaesser; M. Lier-Walqui; G. Cesana; Elizabeth Weatherhead; G. Tselioudis; Gavin A. Schmidt; D. Barahona; B. Cairns; W. D. Collins; David Considine; Lidia Cucurull; L. DiGirolamo; A. Emory; O. Hasekamp; Shan He; Ryan Kramer; M. Lebsock; Tsengdar J. Lee; S. Leroy; Wuyin Lin; Steven Lugauer; Daniel J. Miller; J. Mulmenstadt; L. Oreopoulos; Derek J. Posselt; Mark D. Zelinkas
recommend,0.171,Differential Absorption Radar at 170 GHz for Atmospheric Boundary Layer Water Vapor Profiling,European Microwave Conference,2018,10.23919/eurad.2018.8546571,3,R. Roy; K. Cooper; M. Lebsock; L. Millán; J. Siles; R. Monje
recommend,0.171,"Analyses of Shallow Convection over the Amazon Coastal Region Using Satellite Images, Data Observations and Modeling",Revista Brasileira de Meteorologia,2018,10.1590/0102-7786332009,1,L. Pires; K. Suselj; L. Rossato; J. Teixeira; João Paulo Ramos Teixeira
recommend,0.171,Large-Eddy Simulations of the Stratocumulus to Shallow Cumulus Cloud Transition,,2013,,0,M. Inoue; G. Matheou; J. Teixeira
recommend,0.171,Hyperspectral A-band retrievals of cloud droplet number concentration from OCO-2,,2020,10.5194/egusphere-egu2020-22389,0,M. Richardson; M. Lebsock; G. Stephens
recommend,0.171,Differential Absorption Radar at 170 GHz for Atmospheric Boundary Layer Water Vapor Profiling,European Radar Conference,2018,10.23919/eumc.2018.8541614,0,R. Roy; K. Cooper; M. Lebsock; L. Millán; J. Siles; R. Monje
review,0.143,Quantifying methane emissions from the global scale down to point sources using satellite observations of atmospheric methane,Atmospheric Chemistry and Physics,2022,10.5194/acp-22-9617-2022,344,D. Jacob; D. Varon; D. Cusworth; P. Dennison; C. Frankenberg; R. Gautam; L. Guanter; J. Kelley; J. Mckeever; L. Ott; B. Poulter; Z. Qu; A. Thorpe; J. Worden; R. Duren
review,0.143,The Orbiting Carbon Observatory-2: first 18 months of science data products,,2016,10.5194/amt-10-549-2017,267,A. Eldering; C. O’Dell; P. Wennberg; D. Crisp; M. Gunson; C. Viatte; C. Avis; A. Braverman; R. Castaño; A. Chang; L. Chapsky; Cecilia Cheng; B. Connor; L. Dang; G. Doran; B. Fisher; C. Frankenberg; D. Fu; R. Granat; J. Hobbs; R. Lee; L. Mandrake; J. McDuffie; C. Miller; V. Myers; V. Natraj; D. O'Brien; G. Osterman; F. Oyafuso; V. Payne; H. Pollock; I. Polonsky; C. Roehl; R. Rosenberg; F. Schwandner; M. Smyth; V. Tang; T. Taylor; Cathy To; D. Wunch; Jan Yoshimizu
review,0.143,"Spaceborne Cloud and Precipitation Radars: Status, Challenges, and Ways Forward",Reviews of Geophysics,2020,10.1029/2019rg000686,139,A. Battaglia; P. Kollias; R. Dhillon; R. Roy; S. Tanelli; K. Lamer; M. Grecu; M. Lebsock; Daniel Watters; Kamil Mróz; G. Heymsfield; Lihua Li; K. Furukawa
review,0.143,Fast and Accurate Retrieval of Methane Concentration From Imaging Spectrometer Data Using Sparsity Prior,IEEE Transactions on Geoscience and Remote Sensing,2020,10.1109/tgrs.2020.2976888,109,Markus Foote; P. Dennison; A. Thorpe; D. Thompson; Siraput Jongaramrungruang; C. Frankenberg; S. Joshi
review,0.143,The greenhouse gas climate change initiative (GHG-CCI): Comparative validation of GHG-CCI SCIAMACHY/ENVISAT and TANSO-FTS/GOSAT CO2 and CH4 retrieval algorithm products with measurements from the TCCON,,2013,10.5194/amt-7-1723-2014,96,B. Dils; M. Buchwitz; M. Reuter; O. Schneising; H. Boesch; R. Parker; S. Guerlet; I. Aben; T. Blumenstock; J. Burrows; A. Butz; N. Deutscher; C. Frankenberg; F. Hase; O. Hasekamp; J. Heymann; M. Mazière; J. Notholt; R. Sussmann; T. Warneke; D. Griffith; V. Sherlock; D. Wunch
review,0.143,High spatial resolution imaging of methane and other trace gases with the airborne Hyperspectral Thermal Emission Spectrometer (HyTES),,2016,10.5194/amt-9-2393-2016,82,G. Hulley; R. Duren; F. Hopkins; S. Hook; N. Vance; P. Guillevic; W. Johnson; B. Eng; J. Mihaly; V. Jovanovic; S. Chazanoff; Z. K. Staniszewski; L. Kuai; J. Worden; C. Frankenberg; G. Rivera; A. Aubrey; C. Miller; N. Malakar; J. M. S. Tomás; Kendall T. Holmes
review,0.143,Evaluation and mechanism exploration of the diurnal hysteresis of ecosystem fluxes,Agricultural and Forest Meteorology,2019,10.1016/j.agrformet.2019.107642,61,Changjie Lin; P. Gentine; C. Frankenberg; Sha Zhou; D. Kennedy; Xi Li
review,0.143,A unified approach to estimate land and water reflectances with uncertainties for coastal imaging spectroscopy,Remote Sensing of Environment,2019,10.1016/j.rse.2019.05.017,39,D. Thompson; K. Cawse-Nicholson; Z. Erickson; C. Fichot; C. Frankenberg; B. Gao; M. Gierach; R. Green; D. Jensen; V. Natraj; A. Thompson
review,0.143,A recycling method for the large-eddy simulation of plumes in the atmospheric boundary layer,Environmental Fluid Mechanics,2016,10.1007/s10652-015-9413-4,27,G. Matheou; K. Bowman
review,0.143,Simulation of Remote Sensing of Clouds and Humidity From Space Using a Combined Platform of Radar and Multifrequency Microwave Radiometers,Earth and Space Science,2019,10.1029/2019ea000580,15,Jonathan H. Jiang; Q. Yue; H. Su; P. Kangaslahti; M. Lebsock; S. Reising; M. Schoeberl; Longtao Wu; R. Herman
review,0.143,What CloudSat cannot see: liquid water content profiles inferred from MODIS and CALIOP observations,Atmospheric Measurement Techniques,2023,10.5194/amt-16-3531-2023,14,Richard M. Schulte; M. Lebsock; J. Haynes
review,0.143,Isotopic changes due to convective moistening of the lower troposphere associated with variations in the ENSO and IOD from 2005 to 2006,,2015,10.3402/tellusb.v67.26177,14,Jeonghoon Lee; J. Worden; D. Noone; J. Chae; C. Frankenberg
review,0.143,Assessment of global total column water vapor sounding using a spaceborne differential absorption radar,Atmospheric Measurement Techniques,2020,10.5194/amt-2020-97,13,L. Millán; R. Roy; M. Lebsock
review,0.143,Uncertainty Characteristics of Total Water Path Retrievals in Shallow Cumulus Derived from Spaceborne Radar/Radiometer Integral Constraints,,2016,10.1175/jtech-d-16-0023.1,13,M. Lebsock; Kentaroh Suzuki
review,0.143,Multifrequency radar observations of marine clouds during the EPCAPE campaign,Earth System Science Data,2024,10.5194/essd-16-2701-2024,9,Juan M. Socuéllamos; Raquel Rodriguez Monje; M. Lebsock; Ken B. Cooper; Robert M. Beauchamp; Arturo Y. Umeyama
review,0.143,A Lagrangian Analysis of Pockets of Open Cells over the Southeast Pacific,Atmospheric Chemistry and Physics,2021,10.5194/acp-2021-1001,8,K. Smalley; M. Lebsock; R. Eastman; M. Smalley; M. Witte
review,0.143,Poster: The texture of atmospheric humidity: Near-surface turbulence in precipitating cumulus convection,75th Annual Meeting of the APS Division of Fluid Dynamics - Gallery of Fluid Motion,2022,10.1103/aps.dfd.2022.gfm.p0007,0,G. Matheou; R. Venters; Oumaima Lamaakel; J. Teixeira
review,0.143,A ug 2 02 0 Galilean invariance of shallow cumulus convection large-eddy simulations,,2020,,0,Oumaima Lamaakel; G. Matheou
review,0.143,Turbulence and cloud formation in the atmospheric boundary layer : some aspects of stratified turbulence,,2011,,0,G. Matheou
review,0.143,A new OCO-2 cloud flagging and rapid retrieval of marine boundary layer cloud properties,,2020,10.5194/amt-2020-140,0,M. Richardson; M. Lebsock; J. McDuffie; G. Stephens
review,0.143,A Marine Boundary Layer Water Vapor Climatology Derived from Microwave and Near-Infrared Imagery,,2017,,0,L. M. Valle; M. Lebsock; J. Teixeira
review,0.114,The Global Methane Budget 2000–2017,Earth System Science Data,2019,10.5194/essd-2019-128,2861,M. Saunois; A. Stavert; B. Poulter; P. Bousquet; J. Canadell; R. Jackson; P. Raymond; E. Dlugokencky; S. Houweling; P. Patra; P. Ciais; V. Arora; D. Bastviken; P. Bergamaschi; D. Blake; G. Brailsford; L. Bruhwiler; K. Carlson; M. Carrol; S. Castaldi; N. Chandra; C. Crevoisier; P. Crill; K. Covey; C. Curry; G. Etiope; C. Frankenberg; N. Gedney; M. Hegglin; L. Höglund-Isaksson; G. Hugelius; M. Ishizawa; A. Ito; G. Janssens‑Maenhout; K. Jensen; F. Joos; T. Kleinen; P. Krummel; R. Langenfelds; G. Laruelle; Licheng Liu; T. Machida; Shamil Maksyutov; K. McDonald; J. McNorton; P. Miller; J. Melton; I. Morino; Jurek Müller; F. Murguía-Flores; V. Naik; Y. Niwa; S. Noce; S. O'Doherty; R. Parker; C. Peng; S. Peng; G. Peters; C. Prigent; R. Prinn; M. Ramonet; P. Régnier; W. Riley; J. Rosentreter; A. Segers; I. Simpson; Hao Shi; Steven J. Smith; L. Steele; B. Thornton; H. Tian; Y. Tohjima; F. Tubiello; A. Tsuruta; N. Viovy; A. Voulgarakis; Thomas S. Weber; M. van Weele; G. R. van der Werf; R. Weiss; D. Worthy; D. Wunch; Yi Yin; Y. Yoshida; Wenxing Zhang; Zhen Zhang; Yuanhong Zhao; Bo-Yan Zheng; Qing Zhu; Qiu'an Zhu; Q. Zhuang
review,0.114,Soil moisture–atmosphere feedback dominates land carbon uptake variability,Nature,2021,10.1038/s41586-021-03325-5,536,V. Humphrey; A. Berg; P. Ciais; P. Gentine; M. Jung; M. Reichstein; S. Seneviratne; C. Frankenberg
review,0.114,Potential of the TROPOspheric Monitoring Instrument (TROPOMI) onboard the Sentinel-5 Precursor for the monitoring of terrestrial chlorophyll fluorescence,,2014,10.5194/amt-8-1337-2015,211,L. Guanter; I. Aben; P. Tol; J. M. Krijger; A. Hollstein; P. Köhler; A. Damm; J. Joiner; C. Frankenberg; J. Landgraf
review,0.114,Real-time remote detection and measurement for airborne imaging spectroscopy: a case study with methane,,2015,10.5194/amt-8-4383-2015,192,D. Thompson; I. Leifer; H. Bovensmann; M. Eastwood; M. Fladeland; C. Frankenberg; K. Gerilowski; R. Green; S. Kratwurst; T. Krings; B. Luna; A. Thorpe
review,0.114,Mapping of North American methane emissions with high spatial resolution by inversion of SCIAMACHY satellite data,,2014,10.1002/2014jd021551,162,K. Wecht; D. Jacob; C. Frankenberg; Zhe Jiang; D. Blake
review,0.114,"A multi-year methane inversion using SCIAMACHY, accounting for systematic errors using TCCON measurements",,2013,10.5194/acp-14-3991-2014,147,S. Houweling; M. Krol; P. Bergamaschi; C. Frankenberg; E. Dlugokencky; I. Morino; J. Notholt; V. Sherlock; D. Wunch; V. Beck; C. Gerbig; Huilin Chen; E. Kort; T. Röckmann; I. Aben
review,0.114,"On the consistency between global and regional methane emissions inferred from SCIAMACHY, TANSO-FTS, IASI and surface measurements",,2013,10.5194/acp-14-577-2014,92,C. Cressot; F. Chevallier; P. Bousquet; C. Crevoisier; E. Dlugokencky; A. Fortems‐Cheiney; C. Frankenberg; R. Parker; I. Pison; R. Scheepmaker; S. Montzka; P. Krummel; L. Steele; R. Langenfelds
review,0.114,Detecting the Ratio of Rain and Cloud Water in Low-Latitude Shallow Marine Clouds,,2010,10.1175/2010jamc2494.1,77,M. Lebsock; T. L’Ecuyer; G. Stephens
review,0.114,Assimilation of atmospheric methane products into the MACC-II system: from SCIAMACHY to TANSO and IASI,,2014,10.5194/acp-14-6139-2014,74,S. Massart; A. Agustí-Panareda; I. Aben; A. Butz; F. Chevallier; C. Crevoisier; R. Engelen; C. Frankenberg; O. Hasekamp
review,0.114,Physical science research needed to evaluate the viability and risks of marine cloud brightening,Science Advances,2024,10.1126/sciadv.adi8594,66,G. Feingold; V. Ghate; Lynn M. Russell; P. Blossey; W. Cantrell; M. Christensen; M. Diamond; A. Gettelman; F. Glassmeier; E. Gryspeerdt; James Haywood; Fabian Hoffmann; Colleen Kaul; M. Lebsock; A. McComiskey; D. McCoy; Y. Ming; J. Mülmenstädt; A. Possner; Prasanth Prabhakaran; P. K. Quinn; K. S. Schmidt; Raymond A. Shaw; C. Singer; A. Sorooshian; V. Toll; Jessica S. Wan; R. Wood; Fan Yang; Jianhao Zhang; Xue Zheng
review,0.114,Towards a Harmonized Long‐Term Spaceborne Record of Far‐Red Solar‐Induced Fluorescence,Journal of Geophysical Research - Biogeosciences,2019,10.1029/2019jg005289,63,N. Parazoo; C. Frankenberg; P. Köhler; J. Joiner; Y. Yoshida; T. Magney; Ying Sun; V. Yadav
review,0.114,Eddy Diffusivity/Mass Flux and Shallow Cumulus Boundary Layer: An Updraft PDF Multiple Mass Flux Scheme,,2012,10.1175/jas-d-11-090.1,60,K. Suselj; J. Teixeira; G. Matheou
review,0.114,Large-Eddy Simulation of Stratified Turbulence. Part I: A Vortex-Based Subgrid-Scale Model,,2014,10.1175/jas-d-13-0126.1,59,D. Chung; G. Matheou
review,0.114,Cropland Carbon Uptake Delayed and Reduced by 2019 Midwest Floods,AGU Advances,2020,10.1029/2019av000140,51,Yi Yin; B. Byrne; Junjie Liu; P. Wennberg; K. Davis; T. Magney; P. Köhler; Liyin He; R. Jeyaram; V. Humphrey; T. Gerken; S. Feng; J. Digangi; C. Frankenberg
